Column1,Column2
so that you understand , STHAOUPBD
so that you do , STHAOURPBLGS
so that you have , STHAOUF
so that you wouldn't , STHAO*ULTD
so that you can't , STHAO*UBGT
have you ever seen , STHR*UFRZ
so that you can , STHRAOUBG
after you , STPU
after you had , STPUD
after you got , STPUGD
after you get , STPUGT
after you thought , STPULGT
after you receive , STPUBZ
after you believe , STPUBL
after you said , STPUPD
as you understand , STPUPBD
after you were , STPURP
after you were , STPURPL
after you did , STPURPLS
after you were , STPURPB
after you have , STPUF
after you saw , STPUFZ
after you first , STPUFRS
after you went , STPUFRG
after you first , STPEUFRS
after you received , STP*BZ
after your , STP*RBG
after you received , STP*UBZ
as if you were , STP*URP
after you found , STP*UFPBD
after you reviewed , STP*UFRPD
to you , STPOU
state your full name , STPAUFRPB
"{,?}as far as you know{,?} ", STPA*UFRPBZ
your father , STPA*ERT
your father's , STPA*ERTS
after your , STPAOUR
after your , STPAO*UR
after you've , STPAO*UF
for you , STPR*U
your name , STPHA*EUPL
did you , STKU
did you get , STKUGT
did you believe , STKUBL
did you have , STKUF
do you , STKOU
do you have , STKAUF
do you know , STKAOUPB
does your , STKAOUR
do you disagree , STKAOURG
do you recall , STKAOURL
do you recognize , STKAOURBGZ
do you have , STKAOUF
your doctor , STKR*
you didn't go , STKWREUG
you don't remember , STKWROER
you don't recall , STKWROERL
you don't have , STKWROEF
and you , STKPU
but you have , STKPWHRUF
but you just , STKPWHR*UPBLG
{Q}Do you recall , STKPWHRAOURL
you would , U8D
you said , U78D
you were , UR7
you have , U6
you had , U6D
you wouldn't , *U89D
you could not , #*UBGD
"{,?}you know{,?} ", 50*U7B
would you have , W0U6
where you live , WR*U68
where do you live , WR50*U68
when you , W4U
when you were , W4UR7
were you able to , 3RUB89
when you had , 3WUD
to tell you the truth , 2*789D
to tell you the truth , 2*EU89D
to tell you the truth , 2*EU789D
to your knowledge , 20UR7B8G
that you , 245U
that you see , 245UZ
that you said , 245U78D
that you need to , 245U6RB9
that you go to , 245*UG9
did you have a , 2KU6
did you live , 2K*U6R8
did you review , 2K*U6R7
do you have a , 2K50U6
do you live , 2K50*U68
do you live , 2K50*U6R8
but you live , 2K3W4R*U68
have you had a , 1RUD
state your full name , 125U6R7B
